"","feature","metadata","value","qvalue"
"F35362","F35362","diagnosis2","CD.dys",6.73630401610557e-05
"F33433","F33433","diagnosis2","CD.dys",6.73630401610557e-05
"F40988","F40988","diagnosis2","CD.dys",6.7990887271266e-05
"F2087","F2087","diagnosis2","CD.dys",6.82697810590234e-05
"F57230","F57230","diagnosis2","CD.dys",6.89071273072085e-05
"F1823","F1823","diagnosis2","CD.dys",7.03940389703474e-05
"F50311","F50311","diagnosis2","CD.dys",7.14243011224828e-05
"F7862","F7862","diagnosis2","CD.dys",7.16108784364453e-05
"F34359","F34359","diagnosis2","CD.dys",7.23464392801858e-05
"F4223","F4223","diagnosis2","CD.dys",7.24326287637243e-05
"F9096","F9096","diagnosis2","CD.dys",7.31977364166516e-05
"F44377","F44377","diagnosis2","CD.dys",7.31977364166516e-05
"F53497","F53497","diagnosis2","CD.dys",7.31977364166516e-05
"F5794","F5794","diagnosis2","CD.dys",7.5147579556333e-05
"F3355","F3355","diagnosis2","CD.dys",7.5147579556333e-05
"F2913","F2913","diagnosis2","CD.dys",7.57670255192929e-05
"F36084","F36084","diagnosis2","CD.dys",7.87101636565908e-05
"F4649","F4649","diagnosis2","CD.dys",7.90749897183044e-05
"F18339","F18339","diagnosis2","CD.dys",7.98113142839327e-05
"F23234","F23234","diagnosis2","CD.dys",8.06523756761675e-05
"F52313","F52313","diagnosis2","CD.dys",8.30425142797847e-05
"F11505","F11505","diagnosis2","CD.dys",8.33536653022205e-05
"F7666","F7666","diagnosis2","CD.dys",8.34513584564987e-05
"F50684","F50684","diagnosis2","CD.dys",8.39970654279348e-05
"F47","F47","diagnosis2","CD.dys",8.53102755446329e-05
"F44521","F44521","diagnosis2","CD.dys",8.57030078278389e-05
"F21690","F21690","diagnosis2","CD.dys",8.61623636833077e-05
"F3869","F3869","diagnosis2","CD.dys",8.68372384312223e-05
"F10525","F10525","diagnosis2","CD.dys",8.76692626543711e-05
"F45948","F45948","diagnosis2","CD.dys",8.77671582585918e-05
"F19371","F19371","diagnosis2","CD.dys",8.85896261553826e-05
"F48705","F48705","diagnosis2","CD.dys",8.96690417506392e-05
"F49649","F49649","diagnosis2","CD.dys",9.05857181107739e-05
"F4894","F4894","diagnosis2","CD.dys",9.05857181107739e-05
"F10045","F10045","diagnosis2","CD.dys",9.05857181107739e-05
"F3068","F3068","diagnosis2","CD.dys",9.05857181107739e-05
"F8579","F8579","diagnosis2","CD.dys",9.10716270141531e-05
"F7860","F7860","diagnosis2","CD.dys",9.13794515957094e-05
"F4393","F4393","diagnosis2","CD.dys",9.2779271395512e-05
"F40750","F40750","diagnosis2","CD.dys",9.37614709411607e-05
"F11152","F11152","diagnosis2","CD.dys",9.46226893834299e-05
"F3042","F3042","diagnosis2","CD.dys",9.51704553751822e-05
"F3530","F3530","diagnosis2","CD.dys",9.81849662579854e-05
"F50321","F50321","diagnosis2","CD.dys",9.81849662579854e-05
"F6717","F6717","diagnosis2","CD.dys",9.81849662579854e-05
"F7742","F7742","diagnosis2","CD.dys",9.81849662579854e-05
"F36475","F36475","diagnosis2","CD.dys",9.97510072162377e-05
"F542","F542","diagnosis2","CD.dys",0.000100034879885166
"F2502","F2502","diagnosis2","CD.dys",0.000100034879885166
"F7556","F7556","diagnosis2","CD.dys",0.000100656458658941
"F2823","F2823","diagnosis2","CD.dys",0.000101492098336781
"F27988","F27988","diagnosis2","CD.dys",0.000101492098336781
"F7524","F7524","diagnosis2","CD.dys",0.000101736074895961
"F9289","F9289","diagnosis2","CD.dys",0.000101736074895961
"F25697","F25697","diagnosis2","CD.dys",0.000101736074895961
"F51923","F51923","diagnosis2","CD.dys",0.000101736074895961
"F4380","F4380","diagnosis2","CD.dys",0.000103575657549008
"F3624","F3624","diagnosis2","CD.dys",0.000104233833301659
"F30569","F30569","diagnosis2","CD.dys",0.00010517813447081
"F55071","F55071","diagnosis2","CD.dys",0.00010542901391982
"F21222","F21222","diagnosis2","CD.dys",0.00010542901391982
"F52272","F52272","diagnosis2","CD.dys",0.00010542901391982
"F23418","F23418","diagnosis2","CD.dys",0.000106816357903113
"F7427","F7427","diagnosis2","CD.dys",0.000110529043415777
"F19394","F19394","diagnosis2","CD.dys",0.000111841846163024
"F5749","F5749","diagnosis2","CD.dys",0.000114553952200813
