"","UC"
"F40796",-6.0696
"F22337",-6.0195
"F55949",9.2893
"F827",-6.9151
"F49201",-7.1454
"F3294",6.3938
"F41190",-5.1583
"F947",8.4749
"F40937",-7.6101
"F40856",-6.3792
"F53019",5.7181
"F2901",-5.9281
"F51606",2.909
"F10792",9.3275
"F51422",-5.5114
"F48076",8.732
"F1443",-5.1338
"F2543",6.7896
"F1660",-5.7043
"F2112",-3.2631
"F7010",-3.8645
"F51356",-6.278
"F3743",6.1796
"F9543",4.2431
"F1700",-5.5165
"F3602",4.7077
"F4383",6.9526
"F41062",-4.1175
"F41350",-6.107
"F51310",-6.4384
"F9520",-4.2623
"F2464",-5.1272
"F41176",-5.0494
"F10946",1.8372
"F6557",7.506
"F40327",-1.0728
"F1242",-5.0488
"F40972",-8.7513
"F51395",-6.3791
"F1511",-4.5273
"F1235",-2.8271
"F25397",-4.1727
"F40826",-5.3739
"F1515",-5.1746
"F39114",-4.1534
"F40879",-6.4832
"F1177",-3.178
"F51277",-6.5278
"F6894",5.8677
"F1029",-5.7766
"F1890",7.057
"F41664",-4.0632
"F49811",7.2907
"F52485",-4.5967
"F3870",8.2342
"F2057",-3.7368
"F40254",8.1213
"F56167",6.9239
"F789",-5.5719
"F41194",-1.6071
"F41661",-6.0284
"F3832",7.8693
"F50969",-2.4874
"F2919",-5.1379
"F46093",6.6884
"F39156",8.9576
"F51049",3.8599
"F40455",-6.7865
"F51539",-5.1978
"F3742",5.8056
"F51486",-6.1067
"F1557",6.1883
"F51445",-6.6633
"F54614",7.0648
"F15469",-5.9394
"F1397",-5.7953
"F871",-6.6103
"F1384",7.2908
"F51257",8.2074
"F1231",-4.9812
"F1187",-6.3603
"F2888",6.8265
"F1368",-4.9739
"F1715",-4.1783
"F39682",-4.4846
"F2747",6.9243
"F1208",-4.14
"F51595",9.5437
"F771",-5.2639
"F2954",8.0273
"F11095",2.4311
"F40544",8.2874
"F1199",-6.377
"F40120",-5.8201
"F2967",-3.7527
"F22917",-2.7562
"F40899",-6.3232
"F41872",-4.7085
"F52334",-7.9401
"F943",-5.8771
"F40893",-6.5629
"F41294",-6.9378
"F881",-5.1587
"F1633",-5.052
"F9957",6.6124
"F40158",-4.073
"F1396",-5.1842
"F815",-6.2206
"F4028",6.8165
"F45630",6.9615
"F19764",3.6299
"F1500",-5.1009
"F40897",-4.7635
"F42419",-4.9117
"F2611",2.6448
"F49982",-6.1646
"F922",-6.9166
"F21569",2.385
"F1424",-5.5754
"F1684",6.6055
"F40791",-6.7235
"F45061",8.018
"F835",-5.6388
"F14145",6.7678
"F1436",-5.8375
"F847",-5.2989
"F836",-5.9124
"F55035",3.8862
"F42614",7.7257
"F9481",3.6706
"F9756",6.7644
"F3582",6.7723
"F1520",-5.2984
"F8358",4.078
"F42692",-3.497
"F51406",-6.3685
"F3191",1.2479
"F833",-4.2343
"F50124",1.6824
"F52147",2.2288
"F51480",-6.0867
"F10935",3.7825
"F49580",5.3363
"F1053",7.7115
"F2624",6.8436
"F48091",9.2896
"F42449",-6.3476
"F49169",4.768
"F41651",-6.7817
"F42277",-4.7521
"F53813",-6.0469
"F979",-6.0297
"F3163",5.7158
"F49106",3.3071
"F9486",5.8944
"F2752",8.1338
"F40799",-6.197
"F42509",5.7281
"F819",-5.9111
"F40232",-7.2888
"F51964",-5.2931
"F1760",-5.8492
"F9496",6.7074
"F1450",-3.9228
"F1166",-3.3399
"F20448",-4.8508
"F10430",6.3949
"F23753",4.2299
"F1446",-4.9357
"F1346",-4.4091
"F14872",-4.5823
"F51385",-6.0836
"F51452",-6.1978
"F46335",8.2809
"F50536",8.7651
"F53797",7.6351
"F55898",5.7477
"F9836",6.8145
"F54887",6.2082
"F1618",-5.3989
"F41554",-4.7668
"F3790",2.7985
"F4886",-5.8446
"F1051",-5.5849
"F51590",-7.0366
"F53245",7.0848
"F2115",-4.3776
"F40664",-4.238
"F42840",3.8395
"F9478",-3.4887
"F7918",2.1598
"F41217",-5.2683
"F2902",6.2586
"F1114",-5.063
"F29454",3.2347
"F41478",-5.7954
"F40994",8.6887
"F42394",5.2036
"F1122",-4.1173
"F1033",7.8278
"F482",-0.8402
"F41245",-3.8877
"F3318",1.5633
"F8048",3.6646
"F41031",-6.6162
"F40901",-4.3396
"F51312",-4.4567
"F51297",-4.9189
"F1707",-4.9717
"F777",-4.6224
"F18864",4.458
"F41616",-4.6178
"F2142",-4.5967
"F2660",5.7171
"F1314",-6.4005
"F41369",-4.7744
"F54867",6.4889
"F25506",4.6644
"F8540",4.0407
"F2483",4.3825
"F18590",-4.4418
"F2092",2.7923
"F3493",1.0728
"F11214",3.5749
"F2108",-4.0103
"F1285",-2.5999
"F3183",4.6515
"F1508",-4.9141
"F3740",5.7253
"F6391",3.7984
"F52310",4.4177
"F14861",-6.1495
"F40995",-6.0388
"F7212",5.3033
"F2996",5.1921
"F40762",-6.6587
"F718",5.2722
"F11027",6.7175
"F1541",-5.0033
"F1360",4.9502
"F1709",-3.174
"F2026",-3.7443
"F28910",3.7417
"F51514",-7.5653
"F9969",7.7943
"F41110",-5.1777
"F33277",-3.5548
"F3038",0.7952
"F7466",2.8704
"F51775",-4.6075
"F778",-5.2972
"F2855",4.0582
"F1997",-4.5271
"F50916",-6.6056
"F5600",-8.1397
"F8569",4.0775
"F41285",-3.7603
"F11123",5.7221
"F6436",2.9787
"F1031",-6.5089
"F1608",-5.162
"F52461",2.5325
"F46000",9.283
"F2924",3.1532
"F11249",2.8878
"F40780",-5.6821
"F53982",9.9755
"F40361",-4.2196
"F1857",7.7791
"F46675",4.7607
"F51672",-5.0102
