"","CD.dys"
"F4649",-0.8281
"F18339",-5.2895
"F23234",-4.5086
"F52313",1.6682
"F11505",-6.375
"F7666",-2.8973
"F50684",-4.4785
"F47",1.8431
"F44521",-1.0969
"F21690",-4.2194
"F3869",-5.4827
"F10525",-5.8253
"F45948",-3.8754
"F19371",-4.7139
"F48705",0.49
"F49649",-6.38
"F4894",-7.4996
"F10045",-6.8556
"F3068",-3.0627
"F8579",-4.0571
"F7860",3.1283
"F4393",-8.3563
"F40750",-6.1402
"F11152",-6.6421
"F3042",1.6797
"F3530",-4.7914
"F50321",-6.1713
"F6717",-4.4717
"F7742",-2.3749
"F36475",-3.6148
"F542",-5.2545
"F2502",-3.1728
"F7556",-4.7875
"F2823",-3.2546
"F27988",-2.0641
"F7524",-2.8423
"F9289",-4.6256
"F25697",-4.5346
"F51923",-6.2972
"F4380",-5.2536
"F3624",-8.1002
"F30569",-3.6445
"F55071",-5.2363
"F21222",-3.1642
"F52272",-3.8711
"F23418",-5.1144
"F7427",-5.0221
"F19394",-1.716
"F5749",-2.1346
"F7405",-5.8339
"F32094",-0.8058
"F9112",-6.0541
"F50574",0.8598
"F6777",-4.1293
"F48509",-6.5276
"F5689",-1.2262
"F28195",-5.4792
"F10963",-4.6751
"F19754",-5.6356
"F48616",1.3624
"F50629",6.4296
"F4378",-2.139
"F17304",-2.9004
"F29040",-6.8791
"F30500",-3.8997
"F27805",-4.1219
"F6727",-4.2815
"F10056",-2.2423
"F7760",-5.0626
"F26927",-4.5599
"F30568",-5.2654
"F32024",-1.0954
"F19127",-3.8795
"F19632",-4.1513
"F52653",-1.5858
"F3199",-1.1678
"F49620",1.4541
"F23302",-4.4182
"F29802",-6.4326
"F40084",-5.1859
"F55177",-4.3736
"F24515",-2.5561
"F50849",0.7124
"F9534",-7.595
"F785",1.2688
"F26014",-2.126
"F5479",-3.1917
"F7417",-3.1875
"F50453",-0.7425
"F6390",2.6721
"F50631",-5.4438
"F22997",-2.833
"F18388",-3.8293
"F27053",-2.7425
"F7952",2.1804
"F1923",3.19
"F45070",0.8552
"F13771",4.2602
"F36553",-5.1018
"F40512",-4.4329
"F7741",-1.5577
"F26395",-2.5519
"F52322",2.9967
"F3186",-1.8159
"F5275",-1.6523
"F45495",-3.7129
"F38713",-4.3245
"F44193",-1.411
"F21554",-4.8527
"F55466",-3.9872
"F11317",-7.0275
"F10148",-3.2532
"F51129",-4.0797
"F5444",1.3
"F48210",-7.0265
"F7665",-3.0211
"F2623",-1.6267
"F6368",-4.1384
"F25000",-3.4203
"F42127",-4.4506
"F7383",-6.8181
"F14406",-7.582
"F53845",-3.9751
"F27572",-3.9213
"F50",2.8248
"F85",1.8428
"F7450",-3.1328
"F5277",2.0273
"F7955",4.0842
"F50688",-3.6781
"F48924",-7.054
"F1966",4.7903
"F3115",-5.2087
"F57177",-4.19
"F19317",-3.3138
"F7250",-4.7933
"F25661",-5.8652
"F50440",4.7421
"F11260",-5.6863
"F7425",-4.0384
"F52068",-0.95
"F6566",-5.9895
"F20264",-3.226
"F21159",-7.0167
"F55154",3.6525
"F48741",-6.1801
"F30585",-8.264
"F7422",-4.723
"F8459",-3.4336
"F8722",5.3969
"F11494",-4.2782
"F61565",-5.0317
"F30187",-2.1445
"F44383",-3.0309
"F2511",-2.8894
"F34982",-5.2908
"F7442",-4.2163
"F7010",-3.1325
"F7605",-1.5615
"F8404",-2.3271
"F55793",-1.1145
"F29493",-3.6636
"F1118",1.4163
"F19588",-5.1815
"F51723",4.1033
"F30644",-5.3397
"F6841",-1.8028
"F5754",-4.5385
"F3848",-4.0571
"F3158",-4.0034
"F26273",-6.4119
"F38329",-4.1852
"F38926",-6.2841
"F8461",-5.0572
"F52248",-4.7913
"F7426",-4.4955
"F22218",-3.1771
"F44556",-4.3592
"F6862",1.9321
"F23459",-0.757
"F27412",-2.4606
"F6965",5.007
"F28888",-7.2018
"F51582",-2.8077
"F27041",-6.962
"F9262",-4.4704
"F48935",-4.1873
"F41847",-4.617
"F27466",-4.234
"F6790",1.9266
"F6823",-6.6751
"F26706",-1.4355
"F48651",-8.2596
"F6010",-2.229
"F4577",-0.9983
"F22329",-5.2978
"F39267",-7.957
"F49704",-4.9695
"F27656",-6.6851
"F10750",-5.0191
"F4665",-4.2964
"F30967",-5.5051
"F5165",3.9173
"F7727",-1.6476
"F7751",-4.2945
"F9258",-4.1861
"F5430",-5.0472
"F44369",-2.7848
"F36110",-5.2525
"F5152",-3.1758
"F13779",-7.0577
"F5608",-1.9275
"F26577",-1.851
"F55581",-5.4773
"F50605",3.8998
"F11286",1.2291
"F5467",3.3857
"F55583",-8.3812
"F50455",-3.1321
"F9512",-4.8651
"F20273",-1.9243
"F19382",-3.7279
"F16672",-3.3937
"F5993",-2.3511
"F27057",-6.2256
"F19654",-4.7243
"F3134",-4.5808
"F6564",1.5252
"F32028",2.7694
"F50393",-5.6858
"F33816",-1.0024
"F8706",-5.674
"F12362",-7.2186
"F34036",2.5281
"F6219",3.2509
"F9279",-3.2846
"F10130",-1.5225
"F21107",-6.2974
"F49587",-4.1275
"F54979",-1.1157
"F3956",-5.4004
"F5898",-3.8987
"F21009",-3.5549
"F39775",-6.2744
"F9011",-4.3724
"F7930",6.6023
"F5936",-2.0594
"F46982",-6.8193
"F20106",-3.8532
"F13711",-5.7342
"F5372",-4.3649
"F36728",-3.4821
"F20209",-3.5146
"F33083",-2.5051
"F4053",-5.1313
"F41373",-3.3313
"F5392",2.8618
"F10955",2.9452
"F55255",-5.9005
"F26626",-2.9539
"F5559",2.09
"F18976",-2.0521
"F19637",-3.9141
"F58770",-3.0991
"F18468",-5.4651
"F55613",-5.2169
"F58075",-6.2087
"F23285",-4.6131
"F44352",-1.3385
"F7581",-2.4388
"F7774",-0.9888
"F33707",-4.2995
"F4932",-3.2332
"F4987",-6.449
"F5814",-5.0358
"F10739",-2.9722
"F4572",-3.8597
"F37411",-4.6656
"F6037",-2.2975
"F56444",-6.1598
"F35761",-3.3803
"F44416",-1.1308
"F4042",-0.7248
"F21032",-6.2889
"F59621",6.966
"F23002",-2.8981
"F3581",-2.2735
"F4277",-1.589
"F5317",5.1102
"F6578",-4.257
"F19627",-2.8268
"F49584",-3.6207
"F3324",-4.7565
"F7438",-3.5071
"F27990",-6.1744
"F41030",-4.0423
"F1953",-4.0119
"F19536",-4.3784
"F33096",-5.6281
"F6126",-2.2103
"F13566",-5.8495
"F7567",-1.7252
"F52349",-6.8845
"F44423",-3.6193
"F43871",-2.8817
"F26267",-5.746
"F4795",-4.0073
"F23461",-2.0563
"F8752",-1.5619
"F36002",-5.7368
"F22700",-3.3917
"F11357",-2.215
"F21074",-3.7062
"F4982",3.4543
"F2414",-4.3353
"F38830",-2.6782
"F9620",-6.4522
"F18204",-4.5293
"F9163",-8.2057
"F29761",-5.1689
"F34548",-5.0081
"F2475",-1.7866
"F44835",-4.9024
"F7416",-3.3091
"F7284",-7.5003
"F7423",-4.4214
"F38355",1.1367
"F10508",-5.5388
"F50695",-5.4386
"F41930",-8.375
"F26106",-5.2088
"F6577",-3.3634
"F63",2.7364
"F32090",-1.8953
"F6125",-6.6026
"F66651",0.4122
"F7049",1.1404
"F50613",-3.2288
"F55533",-5.9235
"F239",1.1562
"F4401",-4.1501
"F4781",-2.4049
"F29623",-8.1474
"F3658",-1.9049
"F66469",0.4252
"F3780",-5.6226
"F19351",-3.9658
"F33914",-1.8343
"F26232",-3.5401
"F23620",-0.706
"F9863",-2.595
"F30743",-6.5789
"F9429",4.6476
"F8621",1.7528
"F3702",-3.8618
"F27734",-4.2152
"F48988",-4.532
"F42540",-1.3961
"F45158",-3.7447
"F11682",-1.9206
"F7245",-6.6435
"F55352",-1.8676
"F6502",-4.0697
"F49614",-3.176
"F22543",-4.371
"F9565",-4.7618
"F27103",-4.131
"F55472",-3.6801
"F26005",-3.37
"F14736",-2.7922
"F17107",-3.365
"F7344",-3.5735
"F50538",-3.998
"F18101",-3.6066
"F32427",-5.0424
"F50646",4.3033
"F22196",-3.9157
"F11022",-5.4557
"F6512",-7.1858
"F55656",-4.3592
"F9198",-4.9547
"F6852",-2.427
"F2814",-5.5278
"F3087",-4.6223
"F5913",1.5417
"F50484",-0.6773
"F52297",5.3135
"F8451",-3.092
"F7304",6.9897
"F18279",3.4505
"F8115",-5.0973
"F56017",-6.1429
"F6561",-6.0932
"F6101",-2.4789
"F2716",-4.1632
"F16213",-3.0361
"F6590",-1.2937
"F51951",-5.5593
"F7329",-4.0726
"F7993",-6.3872
"F27261",-3.3802
"F5301",6.6429
"F6743",-2.3804
"F8805",0.594
"F56236",-3.0834
"F7773",-1.984
"F18103",-4.3642
"F20906",-4.2896
"F33121",-3.6485
"F6565",-6.6175
"F5769",-4.603
"F27346",-3.6535
"F1728",3.1623
"F21968",-3.9265
"F7433",1.3538
"F40157",-6.6216
"F245",-3.2782
"F8429",-1.2243
"F19635",-4.4917
"F59",2.4026
"F22459",-4.8899
"F50685",-4.5186
"F36444",-2.1233
"F4669",-1.6586
"F52576",-3.5399
"F3496",0.6283
"F50436",-4.7033
"F7752",-2.2797
"F56564",4.1416
"F30883",-5.2905
"F5159",4.7504
"F7113",-6.4666
"F6242",1.5976
"F36031",-2.8661
"F42099",-3.7666
"F14743",-3.7505
"F39035",-3.8034
"F45059",1.6939
"F10833",-7.0409
"F5699",2.8404
"F25816",-5.1739
"F4175",-3.4423
"F25249",-5.0354
"F52740",0.4643
"F600",2.1709
"F22415",-2.1124
"F10580",-6.0691
"F23032",-2.3036
"F6722",-3.6135
"F22753",-3.3721
"F1851",2.2791
"F27680",-8.1545
"F20428",-2.5108
"F4518",-3.2256
"F4068",-4.5743
"F18972",-2.5274
"F7565",-2.6328
"F2748",-3.1598
"F53538",-3.288
"F3303",-2.7087
"F53481",2.1157
"F446",2.7514
"F517",-4.184
"F6648",2.1287
"F65713",-5.9701
"F26676",-3.8649
"F20390",-3.4325
"F54329",0.3041
"F50612",-4.1562
"F56019",-5.307
"F8534",-5.0098
"F19584",-3.2373
"F24960",-5.2363
"F59661",-4.1949
"F6349",2.9791
"F31013",-4.5858
"F49588",-4.844
"F7195",-5.8884
"F66893",0.5237
"F5042",3.6771
"F50554",-3.4669
"F55486",-4.3261
"F6345",-2.1094
"F7874",2.9752
"F9514",-3.8575
"F28911",-6.8259
"F5496",-4.6888
"F8249",-4.7213
"F16344",-3.4254
"F16160",-3.7907
"F17825",-1.4673
"F4347",-4.4622
"F4133",-3.0412
"F55574",-6.3412
"F51989",-4.6416
"F59417",-4.8018
"F3212",0.9848
"F3178",-3.2176
"F3137",-3.7823
"F55459",-3.5881
"F44775",-1.187
"F4351",-3.7332
"F23559",-5.6072
"F10272",-5.0317
"F5736",-2.8885
"F52802",1.6234
"F62380",4.158
"F41656",-5.6811
"F34316",-2.8472
"F54606",-5.3622
"F55117",-0.8736
"F42325",-3.6047
"F2918",-4.3045
"F23332",-2.5062
"F4474",-4.4637
"F8399",1.4341
"F40070",-5.989
"F7683",1.0932
"F18183",-3.9117
"F21130",-5.1013
"F6554",-3.0527
"F11439",-5.2534
"F4942",-4.7697
"F4815",5.3761
"F8691",-1.5275
"F10180",-4.3364
"F57885",-4.273
"F21926",-3.5228
"F21191",-4.8909
"F22102",-3.9988
"F50225",0.658
"F7358",-3.4373
"F55122",-2.8969
"F28401",-5.6353
"F56254",-5.3788
"F26983",-2.1083
"F5983",6.7817
"F33917",-1.1069
"F42078",-2.7256
"F9244",-5.7324
"F55379",-2.9445
"F1826",2.7166
"F18123",3.0367
"F5532",6.4082
"F7434",-4.2811
"F56244",6.5616
"F19463",-3.2361
"F49123",-5.222
"F8438",-2.1295
"F52405",-4.6196
"F4786",-5.9385
"F19776",-2.6651
"F49508",-5.2673
"F16775",-2.9253
"F7331",-3.0877
"F11706",-0.9439
"F2459",-2.7593
"F21929",-2.6021
"F7631",-2.332
"F53853",-1.5617
"F6740",4.4164
"F37149",-5.0811
"F4014",-0.9424
"F4087",-3.7495
"F7386",4.6751
"F6607",-2.6533
"F17244",-3.8651
"F55732",-3.7638
"F5702",-2.3503
"F28507",-2.0286
"F19021",-4.8681
"F19779",-4.4865
"F29460",-8.2588
"F56717",-2.3738
"F17360",-2.4843
"F34944",-4.9732
"F6243",1.6538
"F41981",-1.3462
"F22878",-4.463
"F53496",0.9675
"F41435",-4.8245
"F40990",-2.7279
"F48294",-7.9691
"F44155",6.0983
"F9648",-5.3878
"F29936",-5.6193
"F1955",2.3447
"F40947",-2.9183
"F9947",-1.0696
"F50652",-4.6241
"F34095",-1.5764
"F23708",-3.386
"F50423",-6.6541
"F55457",-1.4184
"F2827",3.7028
"F4356",-3.8615
"F23438",-2.7044
"F25570",-2.5961
"F34926",-3.4057
"F18125",-3.7612
"F7324",-5.2009
"F39593",-5.5806
"F3298",-2.6181
"F18240",-6.2393
"F42449",-3.7332
"F23297",-4.3954
"F51962",-2.1587
"F50503",-4.2069
"F26836",-5.1606
"F22852",-3.1346
"F46",-2.5619
"F3980",-1.1335
"F32907",-4.6595
"F29278",-4.1753
"F35516",-3.0121
"F6843",-1.7779
"F35360",-4.7559
"F4744",-3.8647
"F48669",-5.2286
"F20496",-4.4932
"F42221",-6.1203
"F55445",-4.2263
"F3031",2.0362
"F31004",-6.2951
"F6585",-3.3915
"F51792",-3.7951
"F50606",-5.5658
"F19312",-2.9871
"F3181",-1.8367
"F18797",-3.5989
"F44841",-4.1361
"F3971",-3.7611
"F7413",-5.8393
"F45582",-4.0758
"F50401",-0.6461
"F49194",-4.8709
"F51933",-4.0449
"F35328",-2.1829
"F3934",-4.4714
"F4127",-2.4028
"F55544",-4.3252
"F10925",5.9801
"F38838",-2.7494
"F5443",-1.1887
"F6414",-4.7942
"F50565",1.2864
"F3538",-2.1712
"F6124",-2.7131
"F21921",-2.3469
"F19826",-3.4384
"F4434",1.6412
"F23157",-3.0905
"F8508",-2.4401
"F13595",-5.8116
"F20765",-2.5189
"F50540",4.169
"F23667",-2.581
"F10712",-3.7058
"F11263",0.7171
"F3993",6.1415
"F53488",0.438
"F42473",-5.2532
"F7056",1.2001
"F3758",-4.6177
"F55002",-3.1023
"F23405",-3.5722
"F40840",-3.9421
"F7801",-1.7731
"F23873",-4.811
"F27972",-5.3015
"F403",-3.2756
"F52396",-4.5246
"F40316",-3.9775
"F4221",-1.5389
"F42235",3.1614
"F8971",-0.5926
"F5747",-1.2444
"F51685",-1.3662
"F9138",-6.3564
"F52179",-0.9638
"F19392",-3.9467
"F36296",-2.647
"F6947",-2.1482
"F43340",-3.0225
"F49488",-4.0521
"F23174",-3.4477
"F66998",0.4126
"F6960",-4.3301
"F25915",-2.1932
"F34502",-3.122
"F2309",-3.3495
"F3748",-4.0584
"F50546",-3.4806
"F52227",6.7254
"F7495",-3.0023
"F13591",-3.1445
"F28129",-3.6169
"F8060",-5.5013
"F25114",-3.7074
"F26584",-4.4125
"F5901",-2.3159
"F21893",-2.3799
"F38844",-2.2163
"F45458",-2.3123
"F42203",-2.3703
"F9968",-3.9549
"F8768",-5.4972
"F6592",-6.0025
"F61218",-4.7831
"F4966",3.1403
"F10984",1.4132
"F14898",-3.9407
"F23703",-4.5346
"F725",1.8046
"F3173",5.0922
"F55928",-4.053
"F2644",-0.9563
"F45231",-4.5285
"F33514",-1.7833
"F32104",-0.7267
"F414",4.5493
"F5157",-0.8938
"F59555",-4.882
"F9213",-5.3721
"F3164",-2.5887
"F17717",-4.2809
"F67033",0.2948
"F37746",-2.7338
"F48998",-2.5029
"F23838",-3.496
"F3774",-2.5197
"F8366",-2.3623
"F6610",2.3805
"F19205",-5.6947
"F23295",-4.8609
"F10241",-3.2517
"F53182",0.3309
"F12562",-3.1239
"F21060",-5.1143
"F10326",-6.063
"F37383",-4.8667
"F9089",-1.5154
"F8468",-2.0969
"F6728",-1.2581
"F11239",-5.3166
"F19429",-0.9209
"F48303",3.2968
"F32105",-1.3819
"F3330",-3.2151
"F54263",-2.0523
"F5713",-1.8461
"F3008",-3.2611
"F23625",-3.635
"F35233",2.2428
"F1875",-3.5228
"F6725",-5.2144
"F41195",-7.7479
"F54450",-4.086
"F24529",-6.3908
"F44753",-2.8873
"F45414",-1.2815
"F42129",5.3322
"F50653",4.2911
"F15998",-4.4091
"F55618",-4.3672
"F46969",5.1706
"F50694",-3.4464
"F48202",-5.743
"F5196",-3.1624
"F11061",-5.7641
"F6679",-4.7823
"F26819",-6.16
"F27105",-6.0836
"F55636",-4.7669
"F55265",-7.6674
"F55513",-4.4534
"F11271",-3.4178
"F55179",-4.9608
"F61",2.5179
"F56748",2.9946
"F2868",-5.5297
"F5938",-1.9966
"F6023",-1.4288
"F11374",-1.5625
"F14412",-3.5573
"F55489",-3.3979
"F42812",-3.4727
"F8439",-3.0088
"F20132",-3.9425
"F6115",-5.5464
"F6836",-3.2267
"F1821",3.3929
"F50583",4.5834
"F6363",-3.41
"F9396",-3.8812
"F5624",-3.1226
"F22683",-4.7132
"F44195",-2.082
"F7445",-2.9706
"F49335",-5.719
"F10746",-4.957
"F57328",-3.551
"F40150",-7.107
"F7548",-2.1059
"F27381",-6.1976
"F53351",6.8625
"F55597",-5.4061
"F48671",-3.6013
"F66765",0.4172
"F16205",2.2238
"F7312",-4.2964
"F6002",-2.3664
"F45157",-3.8064
"F33884",-2.8994
"F48541",-6.24
"F51944",-3.5974
"F4069",-4.1806
"F53825",1.4275
"F6754",-6.099
"F6767",-4.5946
"F18141",-4.1915
"F6181",-3.4137
"F6469",3.5287
"F9589",-2.1674
"F25578",-7.3431
"F7593",-1.7635
"F40395",1.4009
"F33814",-4.3154
"F325",-3.7087
"F18367",-2.3924
"F44807",-1.9224
"F52080",-3.6032
"F36183",2.7838
"F40688",-1.5026
"F14364",-4.0213
"F37374",-1.4073
"F34751",-2.8342
"F3490",0.5845
"F40406",-5.54
"F7076",1.2738
"F3525",-3.4914
"F8685",-3.5045
"F24687",-3.187
"F50556",-5.0236
"F28057",-3.8971
"F4025",3.7037
"F42332",-2.9892
"F25137",-3.6429
"F7668",-2.0155
"F9677",-6.0137
"F36236",-2.8244
"F8381",0.9385
"F39918",-0.9707
"F55686",-3.189
"F6030",-1.6193
"F23271",-4.3092
"F4135",-5.2457
"F5616",-1.9171
"F17679",-2.3862
"F1803",1.1193
"F3312",0.6725
"F46945",3.1384
"F52258",-1.0576
"F38911",2.8437
"F33818",-4.7532
"F11726",-2.4137
"F42895",-5.0928
"F51353",-3.9261
"F50488",-1.8758
"F59582",-4.4169
"F40848",-3.5509
"F8371",-2.3852
"F7538",-1.1552
"F39658",-4.8397
"F7648",-2.9582
"F53075",0.9078
"F2630",-2.3168
"F9960",-4.5924
"F52335",0.2949
"F35672",-4.7385
"F57158",5.0405
"F55542",-3.7399
"F7357",-7.5019
"F9563",1.0065
"F2426",-4.2057
"F4925",-3.7246
"F8343",-4.3682
"F8080",-4.4797
"F18984",-2.6243
"F8485",-2.4022
"F27883",-3.4951
"F21090",-4.6875
"F44235",-1.4409
"F50692",-3.3043
"F50504",4.2444
"F5085",3.7128
"F23597",-3.5672
"F50572",0.9712
"F1883",2.6199
"F22273",-4.456
"F21522",-4.4112
"F11535",0.3811
"F46960",1.3541
"F3301",-2.1502
"F52418",1.058
"F51925",-0.9698
"F21138",-2.8614
"F4071",-6.0503
"F5777",5.1612
"F7575",-1.1519
"F33894",-6.4156
"F21845",-2.8639
"F65186",-5.8054
"F12138",-5.6829
"F4250",4.0038
"F3360",-7.1916
"F11619",-2.9874
"F36606",-2.067
"F66146",0.3371
"F6631",-2.767
"F8356",-1.48
"F3695",-5.945
"F48937",-4.053
"F44913",-2.8786
"F18284",-3.4831
"F41427",-2.875
"F6128",-4.4738
"F7622",-1.7857
"F10553",-7.0388
"F18273",-3.3332
"F17223",-3.6002
"F8361",-3.0024
"F51893",-0.959
"F667",1.5094
"F5375",-1.5047
"F55579",-4.2588
"F11424",-1.5631
"F2000",-3.6392
"F50750",-1.8927
"F2517",-2.8966
"F6477",-1.6436
"F30946",-4.0904
"F61795",-4.9135
"F6938",-0.7729
"F44327",-2.6171
"F4842",4.0908
"F7225",-2.418
"F7266",-6.0283
"F32935",-3.0934
"F36515",-1.87
"F45469",-4.8598
"F23441",-2.249
"F8412",-2.7559
"F5095",-3.8803
"F28369",-4.6024
"F1873",-1.7946
"F9353",0.8229
"F57375",4.0944
"F47798",-5.7711
"F9560",-4.1757
"F8806",-3.0955
"F9352",-5.0526
"F20738",-5.2182
"F60921",2.956
"F46939",1.1361
"F31783",-4.4384
"F2485",-2.711
"F11268",2.9721
"F8607",-6.103
"F36458",-5.1837
"F6850",5.7427
"F34672",-4.6304
"F9433",-2.089
"F26102",-5.237
"F7748",2.7116
"F53306",-3.234
"F44194",-3.4702
"F21071",-3.5612
"F50672",3.5178
"F6551",-2.7961
"F10941",-3.3245
"F9360",-2.0389
"F1824",2.4482
"F7252",-3.081
"F51296",-3.3123
"F9287",-2.3181
"F41233",-3.7835
"F11100",-4.2964
"F53884",3.8494
"F44975",-4.0859
"F21572",-2.8471
"F35961",4.5095
"F18447",-2.6316
"F36221",-2.4648
"F13093",-6.6015
"F7661",2.1418
"F23034",-2.7471
"F7281",-5.224
"F5792",-1.8679
"F32067",-4.6172
"F43132",-3.6865
"F4205",-3.5428
"F6118",-4.7729
"F6116",-4.3842
"F43414",4.4114
"F6707",-3.043
"F3153",0.4942
"F55547",-3.6695
"F6622",-4.1606
"F10515",-6.7728
"F3268",-1.715
"F18399",-2.5512
"F9954",-4.1625
"F38699",1.3182
"F10080",-3.8272
"F7716",-0.9698
"F11104",0.4007
"F3559",-2.7448
"F4808",-7.8459
"F43989",-2.7031
"F51067",6.1744
"F10973",-2.32
"F33662",-1.9234
"F48562",-5.6885
"F22961",-3.7532
"F21435",-3.4969
"F35853",-1.1819
"F42077",-4.8461
"F51121",0.7302
"F6855",-1.2049
"F10302",5.6988
"F47005",2.422
"F3659",0.5137
"F22296",-4.2339
"F2448",-1.8241
"F14385",-3.7716
"F7498",-3.7654
"F18855",-3.7619
"F4353",2.7874
"F46184",-3.1036
"F27106",-6.1969
"F4467",-3.7521
"F8436",-1.9411
"F8374",3.819
"F1935",0.9476
"F23178",-3.5372
"F21016",-2.6303
"F50617",-7.5645
"F35548",-4.1951
"F44273",-0.882
"F3081",-3.9327
"F55995",0.3035
"F3653",0.6055
"F3246",0.6016
"F36567",3.4655
"F61595",-4.2844
"F23175",-1.2724
"F5166",-2.2444
"F44350",-1.3901
"F6001",-3.0409
"F23688",-2.9636
"F22894",-4.4293
"F8702",-2.4003
"F11525",0.3593
"F8426",0.7928
"F16263",-3.1207
"F5744",-2.2607
"F25352",-0.5947
"F34743",-4.0153
"F11006",-4.1775
"F7691",0.449
"F38383",-1.7991
"F49317",-4.2616
"F11369",1.1031
