"","feature","metadata","value","qvalue"
"F51382","F51382","diagnosis","UC",1.63131036854446e-07
"F4846","F4846","diagnosis","UC",1.6367405768421e-07
"F48843","F48843","diagnosis","UC",1.66124239999276e-07
"F51616","F51616","diagnosis","UC",1.66124239999276e-07
"F49942","F49942","diagnosis","UC",1.7329412804055e-07
"F4748","F4748","diagnosis","UC",1.73487848533717e-07
"F1434","F1434","diagnosis","UC",1.74050123794242e-07
"F41084","F41084","diagnosis","UC",1.74696428221792e-07
"F6872","F6872","diagnosis","UC",1.75855564641073e-07
"F2082","F2082","diagnosis","UC",1.78413880994012e-07
"F7513","F7513","diagnosis","UC",1.80985549657446e-07
"F7890","F7890","diagnosis","UC",1.82584182652442e-07
"F41622","F41622","diagnosis","UC",1.82584182652442e-07
"F52188","F52188","diagnosis","UC",1.84063121384602e-07
"F11553","F11553","diagnosis","UC",1.86299483332766e-07
"F1544","F1544","diagnosis","UC",1.94739161703402e-07
"F41003","F41003","diagnosis","UC",1.95485396147533e-07
"F1283","F1283","diagnosis","UC",1.97648925894108e-07
"F56658","F56658","diagnosis","UC",1.99101502753023e-07
"F3237","F3237","diagnosis","UC",1.99978173803126e-07
"F8594","F8594","diagnosis","UC",1.99978173803126e-07
"F51344","F51344","diagnosis","UC",2.0079859183818e-07
"F1581","F1581","diagnosis","UC",2.05059763792845e-07
"F2732","F2732","diagnosis","UC",2.05059763792845e-07
"F2830","F2830","diagnosis","UC",2.05059763792845e-07
"F3593","F3593","diagnosis","UC",2.05059763792845e-07
"F6678","F6678","diagnosis","UC",2.07840165008319e-07
"F41060","F41060","diagnosis","UC",2.07840165008319e-07
"F50320","F50320","diagnosis","UC",2.07840165008319e-07
"F51071","F51071","diagnosis","UC",2.07840165008319e-07
"F8063","F8063","diagnosis","UC",2.12240434379542e-07
"F3721","F3721","diagnosis","UC",2.14904104444278e-07
"F7589","F7589","diagnosis","UC",2.14904104444278e-07
"F41171","F41171","diagnosis","UC",2.16386511258635e-07
"F11054","F11054","diagnosis","UC",2.19008667051689e-07
"F41018","F41018","diagnosis","UC",2.19302476767169e-07
"F1514","F1514","diagnosis","UC",2.21349735612946e-07
"F41542","F41542","diagnosis","UC",2.328764170141e-07
"F1409","F1409","diagnosis","UC",2.328764170141e-07
"F1447","F1447","diagnosis","UC",2.35294740383948e-07
"F44447","F44447","diagnosis","UC",2.54541342458761e-07
"F55751","F55751","diagnosis","UC",2.54541342458761e-07
"F41537","F41537","diagnosis","UC",2.56157738543869e-07
"F41065","F41065","diagnosis","UC",2.67491914150395e-07
"F46392","F46392","diagnosis","UC",2.74022112224997e-07
"F53723","F53723","diagnosis","UC",2.82340035632757e-07
"F2751","F2751","diagnosis","UC",2.87474978395364e-07
"F55808","F55808","diagnosis","UC",2.91044621370936e-07
"F3277","F3277","diagnosis","UC",2.97637393055408e-07
"F1743","F1743","diagnosis","UC",3.0847504459595e-07
"F12358","F12358","diagnosis","UC",3.19342773856174e-07
"F4818","F4818","diagnosis","UC",3.28226750839858e-07
"F10461","F10461","diagnosis","UC",3.34748322910713e-07
"F51537","F51537","diagnosis","UC",3.43885729638393e-07
"F2069","F2069","diagnosis","UC",3.48080545653311e-07
"F40950","F40950","diagnosis","UC",3.7127689284197e-07
"F1415","F1415","diagnosis","UC",3.86034819790516e-07
"F51435","F51435","diagnosis","UC",3.86827993292787e-07
"F4740","F4740","diagnosis","UC",4.00858335574849e-07
"F51746","F51746","diagnosis","UC",4.00858335574849e-07
"F11423","F11423","diagnosis","UC",4.04630905359459e-07
"F3678","F3678","diagnosis","UC",4.04630905359459e-07
"F41495","F41495","diagnosis","UC",4.04630905359459e-07
"F52286","F52286","diagnosis","UC",4.07112369082591e-07
"F41157","F41157","diagnosis","UC",4.12627514390064e-07
"F2891","F2891","diagnosis","UC",4.1578550664218e-07
"F1979","F1979","diagnosis","UC",4.18926606777033e-07
"F1517","F1517","diagnosis","UC",4.20038834881431e-07
"F2235","F2235","diagnosis","UC",4.20038834881431e-07
"F50689","F50689","diagnosis","UC",4.22131109639469e-07
"F51428","F51428","diagnosis","UC",4.22131109639469e-07
"F2081","F2081","diagnosis","UC",4.27065004366335e-07
"F620","F620","diagnosis","UC",4.38083418278226e-07
"F52465","F52465","diagnosis","UC",4.38083418278226e-07
"F924","F924","diagnosis","UC",4.5005986336128e-07
"F882","F882","diagnosis","UC",4.5005986336128e-07
"F10006","F10006","diagnosis","UC",4.5005986336128e-07
"F10431","F10431","diagnosis","UC",4.5005986336128e-07
"F41452","F41452","diagnosis","UC",4.5005986336128e-07
"F41115","F41115","diagnosis","UC",4.52033176713211e-07
"F55683","F55683","diagnosis","UC",4.61540498643764e-07
"F40949","F40949","diagnosis","UC",4.6568914314902e-07
"F48098","F48098","diagnosis","UC",4.83566945259698e-07
"F41404","F41404","diagnosis","UC",4.85068360159687e-07
"F3434","F3434","diagnosis","UC",4.93974871747463e-07
"F47949","F47949","diagnosis","UC",4.97308557736514e-07
"F41198","F41198","diagnosis","UC",5.10949546435849e-07
"F8788","F8788","diagnosis","UC",5.2180677822719e-07
"F2491","F2491","diagnosis","UC",5.29088836229525e-07
"F8529","F8529","diagnosis","UC",5.29770367231725e-07
"F680","F680","diagnosis","UC",5.30998987184724e-07
"F41449","F41449","diagnosis","UC",5.43609333439561e-07
"F38586","F38586","diagnosis","UC",5.54496478273981e-07
"F37778","F37778","diagnosis","UC",5.89414131457969e-07
"F2117","F2117","diagnosis","UC",6.19578983965175e-07
"F41196","F41196","diagnosis","UC",6.26585090133806e-07
"F51760","F51760","diagnosis","UC",6.26925992224237e-07
"F1433","F1433","diagnosis","UC",6.2963564148035e-07
"F1435","F1435","diagnosis","UC",6.2963564148035e-07
"F3779","F3779","diagnosis","UC",6.58001735600162e-07
"F1393","F1393","diagnosis","UC",6.60698710046403e-07
"F3488","F3488","diagnosis","UC",6.60698710046403e-07
"F5064","F5064","diagnosis","UC",6.60698710046403e-07
"F41180","F41180","diagnosis","UC",6.60698710046403e-07
"F4026","F4026","diagnosis","UC",6.71689498704183e-07
"F40991","F40991","diagnosis","UC",6.84494937037173e-07
"F40935","F40935","diagnosis","UC",6.84675064039212e-07
"F7473","F7473","diagnosis","UC",6.88834340714843e-07
"F42558","F42558","diagnosis","UC",6.88834340714843e-07
"F11179","F11179","diagnosis","UC",6.88834340714843e-07
"F3771","F3771","diagnosis","UC",6.88834340714843e-07
"F6666","F6666","diagnosis","UC",6.88834340714843e-07
"F37325","F37325","diagnosis","UC",6.88834340714843e-07
"F2884","F2884","diagnosis","UC",7.03586136559216e-07
"F8357","F8357","diagnosis","UC",7.03586136559216e-07
"F3828","F3828","diagnosis","UC",7.21356081495421e-07
"F4045","F4045","diagnosis","UC",7.21356081495421e-07
"F41138","F41138","diagnosis","UC",7.70633226192385e-07
"F50329","F50329","diagnosis","UC",7.70633226192385e-07
"F53328","F53328","diagnosis","UC",7.98203716745103e-07
"F8901","F8901","diagnosis","UC",8.15864825584335e-07
"F3510","F3510","diagnosis","UC",8.60367089806443e-07
"F25466","F25466","diagnosis","UC",8.60367089806443e-07
"F39679","F39679","diagnosis","UC",8.60367089806443e-07
"F22902","F22902","diagnosis","UC",8.60367089806443e-07
"F53600","F53600","diagnosis","UC",8.60367089806443e-07
"F1445","F1445","diagnosis","UC",8.67311978758316e-07
"F41106","F41106","diagnosis","UC",8.73556533509513e-07
"F49521","F49521","diagnosis","UC",8.73556533509513e-07
"F2397","F2397","diagnosis","UC",9.2334854833503e-07
"F18867","F18867","diagnosis","UC",9.80682342644618e-07
"F2127","F2127","diagnosis","UC",9.82963210428469e-07
"F2405","F2405","diagnosis","UC",9.82963210428469e-07
"F51430","F51430","diagnosis","UC",9.83813698432097e-07
"F40946","F40946","diagnosis","UC",1.00278745136537e-06
"F12647","F12647","diagnosis","UC",1.01907188927006e-06
"F55738","F55738","diagnosis","UC",1.01907188927006e-06
"F42839","F42839","diagnosis","UC",1.03271440203357e-06
"F2265","F2265","diagnosis","UC",1.03906393884501e-06
"F40837","F40837","diagnosis","UC",1.04830819083932e-06
"F41192","F41192","diagnosis","UC",1.04830819083932e-06
"F51392","F51392","diagnosis","UC",1.06729292434071e-06
"F47297","F47297","diagnosis","UC",1.08628926789409e-06
"F6664","F6664","diagnosis","UC",1.1000095250433e-06
"F2010","F2010","diagnosis","UC",1.12473320899632e-06
